particle_id,in-halo,den_contrast for 12.4,den_contrast for 13.0,den_contrast for 13.6
6872359,0,-0.047696927417863556,-0.04310622854310364,-0.038330629118717895
5818539,0,-0.0343181216928734,-0.03606240987169976,-0.034317881916649286
9365399,1,-0.036311388338432116,-0.041542473120964866,-0.03770212654489995
7002365,1,-0.02250203701800128,-0.0320492322396622,-0.03591331152711033
9348414,0,-0.05082236951809965,-0.046012322690441164,-0.039031651220284076
12173886,0,-0.05307077429428985,-0.04623373938738119,-0.039031651220284076
11725966,1,-0.05366078122137519,-0.04623373938738119,-0.039031651220284076
11047814,1,-0.041701181348022844,-0.043272291065808606,-0.03823393641505356
2696971,0,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
2700384,1,-0.05039182392265897,-0.04413028076645113,-0.038644880405626816
12998286,0,-0.0337918992984459,-0.03750161840180983,-0.035586973652243295
6880232,1,-0.03647084967007678,-0.03829041538465851,-0.03781090583652229
12539944,1,-0.046995297558626865,-0.043687447372571075,-0.03870531334541705
11418030,1,-0.05094993858341534,-0.04581858308061861,-0.0388503524009135
12752001,0,-0.04482662344825894,-0.04230359301669606,-0.03811307053547321
5462680,0,-0.05102966924923772,-0.04565252055791364,-0.03888661216478762
3105819,0,-0.04839855727710025,-0.04548645803520868,-0.039031651220284076
5277761,0,-0.04147793548372034,-0.03805516014415979,-0.03494638449046724
6399334,0,-0.05377240415352654,-0.04623373938738119,-0.039031651220284076
2794031,0,-0.042275242141943746,-0.04385350989527616,-0.03882617922499739
2763936,1,-0.04691556689280448,-0.04252500971363609,-0.03828228276688578
5323086,1,-0.02505341832431647,-0.02692897112292461,-0.03208186314441229
10041316,1,-0.03288296970807114,-0.03220145621880848,-0.03261367301456601
11494823,1,-0.020668231704087325,-0.029226169353677216,-0.030619386001489706
3779953,1,-0.05346942762340155,-0.04623373938738119,-0.039031651220284076
12523880,1,-0.02534044872127692,-0.03292106048386352,-0.033979457453824254
3320666,1,-0.051460214844678394,-0.04518201007691611,-0.03840314864646613
4755971,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
5378773,1,-0.050375877789494435,-0.04566635910147243,-0.039031651220284076
7539567,1,-0.051045615382402154,-0.04598464560332369,-0.039031651220284076
4502241,1,-0.05302293589479644,-0.04599848414688237,-0.039031651220284076
13841965,1,-0.04418877812168019,-0.04313390563022112,-0.038644880405626816
3787114,1,-0.05082236951809965,-0.045707874732148594,-0.03897121828049385
5803208,0,-0.034062983562241814,-0.031343466518165955,-0.028238328173756252
8422283,0,-0.04034576002904297,-0.0400894260472961,-0.03544193459674684
13278516,1,-0.04949884046544865,-0.04502978609776982,-0.03897121828049385
6960482,0,-0.05152399937733624,-0.04556948929656111,-0.039031651220284076
10785828,1,-0.04546446877483779,-0.04240046282160739,-0.03799220465589286
8726540,1,-0.05313455882694769,-0.0459569685162061,-0.038922871928661736
3015302,1,-0.042195511476121474,-0.04165318146943488,-0.03837897547055001
8520689,0,-0.05388402708567779,-0.04623373938738119,-0.039031651220284076
3972312,1,-0.04345525599611452,-0.04098893137861479,-0.0358287054114041
5442492,0,-0.050551285254303635,-0.04581858308061861,-0.03898330486845196
2545983,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
4519592,1,-0.053963757751500176,-0.04623373938738119,-0.039031651220284076
4762791,1,-0.042833356802700215,-0.04042155109270604,-0.03690441173966943
11650794,0,-0.04607042183508756,-0.042760264954134805,-0.037218663026578454
13957340,0,-0.04940316366646183,-0.04559716638367858,-0.039031651220284076
12703407,1,-0.05020047032468534,-0.0454449424045324,-0.03895913169253585
13929312,0,-0.04704313595812027,-0.04475301522659485,-0.038802006049081385
4400199,0,-0.05291131296264519,-0.04584626016773609,-0.0386086206417527
11966328,0,-0.05401159615099359,-0.046206062300263605,-0.039031651220284076
7111411,1,-0.051747245241638845,-0.04584626016773609,-0.039031651220284076
8426163,1,-0.037539240592096304,-0.035121388909704794,-0.03263784619048201
9877589,0,-0.045831229837620516,-0.0416255043823173,-0.03692858491558554
7500521,0,-0.040537113627016605,-0.04281561912836986,-0.03871739993337505
8561369,1,-0.050296147123672155,-0.04594312997264741,-0.039031651220284076
11220965,1,-0.05397970388466461,-0.04619222375670492,-0.039007478044367966
12153551,1,-0.05404348841732256,-0.04623373938738119,-0.039031651220284076
5672327,1,-0.04873342607355411,-0.043576739024101065,-0.03852401452604647
10933656,0,-0.04809558074697526,-0.042760264954134805,-0.037919685128144635
11974172,0,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
13510431,0,-0.03125646412529514,-0.037321717335546074,-0.034813432022928886
8808210,1,-0.03600841180830713,-0.03548119104223232,-0.030631472589447817
4339820,1,-0.04924370233481706,-0.04426866620203863,-0.03829436935484378
7436531,1,-0.05327807402542792,-0.04623373938738119,-0.039031651220284076
7752792,1,-0.04380607092573292,-0.04343835358851358,-0.0385844474658367
4303299,1,-0.05316645109327667,-0.04615070812602865,-0.039031651220284076
4227984,0,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
2173043,1,-0.043391471463456684,-0.04129337933690736,-0.036831892211921194
7043061,0,-0.03710869499665563,-0.039037696736831023,-0.035586973652243295
5170008,0,-0.05324618175909905,-0.04608151540823491,-0.039031651220284076
4148449,0,-0.04694745915913345,-0.043908864069511104,-0.038753659697249164
8866776,0,-0.052704013231507016,-0.04623373938738119,-0.039031651220284076
2725435,1,-0.041988211744983295,-0.04068448342032233,-0.037218663026578454
9852270,0,-0.05332591242492132,-0.046206062300263605,-0.039031651220284076
6346027,0,-0.029980773472137547,-0.03393127416365223,-0.03213020949624452
12420408,1,-0.05002506285987614,-0.04378431717748241,-0.03840314864646613
2819836,1,-0.03816113978551062,-0.034706232602942214,-0.031151195871643424
11487361,0,-0.052719959364671554,-0.046206062300263605,-0.039031651220284076
9274681,1,-0.031144841193143893,-0.03680969122387227,-0.03764169360510972
14535332,0,-0.051986437239105884,-0.04613686958246986,-0.039031651220284076
13953990,1,-0.053612942821881775,-0.04623373938738119,-0.039031651220284076
6511943,1,-0.04817531141279764,-0.045223525707592374,-0.03872948652133316
3074088,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
12102781,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
7805284,0,-0.05071074658594829,-0.0459569685162061,-0.039031651220284076
10906666,0,-0.041876588812832044,-0.041265702249789885,-0.0383185425307599
6981362,0,-0.049275594601146035,-0.044780692313712324,-0.03901956463232607
5090619,1,-0.051986437239105884,-0.04597080705976489,-0.039031651220284076
14068502,1,-0.030586726532387424,-0.032990253201657264,-0.03399154404178226
4367002,1,-0.02323555914356695,-0.026998163840718462,-0.027718604891560646
13751217,0,-0.02921535908024301,-0.03564725356493728,-0.03662642021663451
12934042,1,-0.05284752842998724,-0.04623373938738119,-0.039031651220284076
13594003,0,-0.040250083230056154,-0.04201298360196229,-0.03638468845747382
12753763,1,-0.053373750824414735,-0.04623373938738119,-0.039031651220284076
4564477,1,-0.05279969003049383,-0.046095353951793594,-0.039031651220284076
13694969,1,-0.04898856420418558,-0.04559716638367858,-0.039031651220284076
9742600,0,-0.04929154073431047,-0.04516817153335743,-0.038922871928661736
4413234,1,-0.05211400630442168,-0.04573555181926618,-0.039031651220284076
2843842,1,-0.053230235625934506,-0.04623373938738119,-0.039031651220284076
9286954,0,-0.030491049733400607,-0.0372940402484286,-0.035816618823445986
5371756,1,-0.03658247260222803,-0.037902936165013515,-0.03717031667474623
4009046,1,-0.05193859883961248,-0.04623373938738119,-0.039031651220284076
12920795,1,-0.045432576508508814,-0.04150095749028859,-0.037557087489403486
12718632,0,-0.04305660266700283,-0.039951040611708614,-0.03657807386480239
6661989,1,-0.03337729983616966,-0.039632754109857365,-0.03841523523442413
10643110,0,-0.052704013231507016,-0.04533423405606239,-0.03882617922499739
11760954,0,-0.029821312140492887,-0.034401784644649755,-0.035091423545963694
6698522,0,-0.048318826611277864,-0.04444856726830239,-0.03898330486845196
12707001,0,-0.03175079425339377,-0.04043538963626483,-0.03770212654489995
8768240,0,-0.05383618868618439,-0.046206062300263605,-0.039031651220284076
3304585,1,-0.04334363306396328,-0.04433785891983237,-0.03865696699358493
7547695,0,-0.04607042183508756,-0.04451775998609613,-0.039031651220284076
12395917,0,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
8525396,1,-0.05404348841732256,-0.04623373938738119,-0.039031651220284076
11453280,1,-0.053724565754033136,-0.04605383832111743,-0.039031651220284076
